timestamp,load,pressure
2020-02-06 20:28:06:129726,-123.2658,951
2020-02-06 20:28:06:210509,101.87757391304349,949
2020-02-06 20:28:06:301348,100.359,951
2020-02-06 20:28:06:391961,101.49300000000001,946
2020-02-06 20:28:06:482782,103.194,950
2020-02-06 20:28:06:573484,102.90803478260871,946
2020-02-06 20:28:06:674354,101.15773043478261,948
2020-02-06 20:28:06:765105,101.21689565217393,945
2020-02-06 20:28:06:852329,101.53244347826087,950
2020-02-06 20:28:06:953270,101.99590434782608,950
2020-02-06 20:28:07:043960,102.56290434782609,947
2020-02-06 20:28:07:134674,102.60234782608696,950
2020-02-06 20:28:07:225572,102.4495043478261,951
2020-02-06 20:28:07:316832,102.70095652173914,951
2020-02-06 20:28:07:417939,101.27606086956523,945
2020-02-06 20:28:07:508643,101.30564347826088,950
2020-02-06 20:28:07:599389,101.6507739130435,947
2020-02-06 20:28:07:690144,101.12814782608696,946
2020-02-06 20:28:07:779792,-123.26086956521739,950
2020-02-06 20:28:07:972915,102.76012173913044,951
2020-02-06 20:28:08:063664,101.69021739130436,951
2020-02-06 20:28:08:152217,-123.26086956521739,947
2020-02-06 20:28:08:161634,-123.26086956521739,950
2020-02-06 20:28:08:171584,-123.26086956521739,948
2020-02-06 20:28:08:344117,101.58667826086956,947
2020-02-06 20:28:08:434838,100.82246086956523,945
2020-02-06 20:28:08:525615,102.71081739130436,950
2020-02-06 20:28:08:626634,101.70007826086957,949
2020-02-06 20:28:08:717570,102.5678347826087,950
2020-02-06 20:28:08:808330,103.51940869565219,951
2020-02-06 20:28:08:899102,102.90803478260871,945
2020-02-06 20:28:08:989934,101.0887043478261,948
2020-02-06 20:28:09:090913,99.72297391304348,950
2020-02-06 20:28:09:181064,100.55128695652174,950
2020-02-06 20:28:09:271980,101.62612173913045,946
2020-02-06 20:28:09:362641,100.82739130434784,949
2020-02-06 20:28:09:463606,101.99590434782608,945
2020-02-06 20:28:09:554346,101.22675652173915,950
2020-02-06 20:28:09:645397,101.98111304347826,950
2020-02-06 20:28:10:531315,102.22763478260869,951
2020-02-06 20:28:13:558585,100.47240000000001,950
2020-02-06 20:28:13:649285,725.4740347826088,949
2020-02-06 20:28:13:750276,760.4949130434783,945
2020-02-06 20:28:13:841252,769.029495652174,947
2020-02-06 20:28:13:931985,771.8004000000001,946
2020-02-06 20:28:14:024072,781.6021043478261,951
2020-02-06 20:28:14:114348,802.3099304347827,950
2020-02-06 20:28:14:205076,836.9018608695652,950
2020-02-06 20:28:14:303740,-123.26086956521739,948
2020-02-06 20:28:14:312639,-123.26086956521739,951
2020-02-06 20:28:14:321714,-123.26086956521739,950
2020-02-06 20:28:14:750848,-123.2658,946
2020-02-06 20:28:14:831336,1319.8921826086955,951
2020-02-06 20:28:14:932185,1355.1250695652172,951
2020-02-06 20:28:15:021935,-123.26086956521739,951
2020-02-06 20:28:15:204817,1333.3226869565217,949
2020-02-06 20:28:15:295626,1349.4008347826086,951
2020-02-06 20:28:15:396502,1378.8503217391303,945
2020-02-06 20:28:15:488364,1420.8083217391304,951
2020-02-06 20:28:15:578769,1457.9887304347826,947
2020-02-06 20:28:15:669513,1482.8479826086957,950
2020-02-06 20:28:15:760459,1516.0248782608694,950
2020-02-06 20:28:15:861423,1558.2589826086955,946
2020-02-06 20:28:16:513091,1625.6432347826087,951
2020-02-06 20:28:16:602024,-123.26086956521739,946
2020-02-06 20:28:16:785141,2071.551756521739,950
2020-02-06 20:28:16:876127,2074.125443478261,949
2020-02-06 20:28:16:966880,2049.453547826087,950
2020-02-06 20:28:17:068166,2013.1951304347826,949
2020-02-06 20:28:17:159073,1989.637513043478,946
2020-02-06 20:28:17:250794,1933.8397826086957,951
2020-02-06 20:28:17:344739,1816.8701478260868,946
2020-02-06 20:28:17:434773,1579.597904347826,947
2020-02-06 20:28:17:527116,1254.3568434782608,949
2020-02-06 20:28:17:627777,902.1808173913045,951
2020-02-06 20:28:17:718565,538.738747826087,951
2020-02-06 20:28:17:810082,250.63372173913046,950
2020-02-06 20:28:17:901495,118.02967826086957,947
2020-02-06 20:28:17:992415,101.35001739130435,951
2020-02-06 20:28:18:081944,-123.26086956521739,950
2020-02-06 20:28:18:510440,-123.2658,949
2020-02-06 20:28:18:591150,101.38946086956521,948
2020-02-06 20:28:21:226266,101.57681739130435,946
2020-02-06 20:28:21:320032,102.8981739130435,946
2020-02-06 20:28:21:410075,104.5005652173913,950
2020-02-06 20:28:21:501051,105.55567826086958,950
2020-02-06 20:28:21:591874,103.0707391304348,945
2020-02-06 20:28:21:681954,-123.26086956521739,948
2020-02-06 20:28:21:874879,102.46922608695654,949
2020-02-06 20:28:21:965778,102.2818695652174,949
2020-02-06 20:28:22:056606,102.64672173913043,950
2020-02-06 20:28:22:147572,99.29895652173913,950
2020-02-06 20:28:22:246144,-123.26086956521739,945
2020-02-06 20:28:22:254577,-123.26086956521739,948
2020-02-06 20:28:22:264716,-123.26086956521739,948
2020-02-06 20:28:22:691961,-123.26086956521739,895
2020-02-06 20:28:22:862040,-123.26086956521739,839
2020-02-06 20:28:22:871932,327.8788434782609,837
2020-02-06 20:28:23:299309,-123.2658,611
2020-02-06 20:28:23:727565,-123.2658,497
2020-02-06 20:28:23:778892,102.14381739130435,497
2020-02-06 20:28:23:869094,103.27781739130437,498
2020-02-06 20:28:23:970148,102.53332173913044,499
2020-02-06 20:28:24:060811,103.35177391304349,499
2020-02-06 20:28:24:151637,103.24330434782608,500
2020-02-06 20:28:24:242353,101.84799130434784,501
2020-02-06 20:28:24:331988,-123.26086956521739,501
2020-02-06 20:28:24:343500,-23387.97592173913,501
2020-02-06 20:28:24:433660,100.52170434782609,502
2020-02-06 20:28:24:522061,-123.26086956521739,500
2020-02-06 20:28:24:529942,-123.26086956521739,502
2020-02-06 20:28:24:542917,776.0455043478261,501
2020-02-06 20:28:24:611955,-123.26086956521739,502
2020-02-06 20:28:25:040371,-123.2658,945
2020-02-06 20:28:25:120941,99.79200000000002,950
2020-02-06 20:28:25:221825,101.12814782608696,948
2020-02-06 20:28:25:312509,102.66644347826089,950
2020-02-06 20:28:25:402035,-123.26086956521739,949
2020-02-06 20:28:25:414459,4885.109295652174,949
2020-02-06 20:28:25:494271,100.66961739130436,950
2020-02-06 20:28:25:595230,102.35089565217392,951
2020-02-06 20:28:25:685996,101.72966086956522,948
2020-02-06 20:28:25:776729,100.78301739130434,947
2020-02-06 20:28:25:867653,99.13132173913043,945
2020-02-06 20:28:25:958501,100.21601739130436,950
2020-02-06 20:28:26:059534,103.23344347826087,945
2020-02-06 20:28:26:150332,103.67718260869565,949
2020-02-06 20:28:26:241108,102.18819130434782,950
2020-02-06 20:28:26:331152,101.3845304347826,950
2020-02-06 20:28:26:422133,101.15773043478261,949
2020-02-06 20:28:26:523106,100.43788695652175,950
2020-02-06 20:28:26:613815,101.17745217391304,949
2020-02-06 20:28:26:704524,100.95558260869565,947
2020-02-06 20:28:26:795159,101.59160869565217,948
2020-02-06 20:28:26:896125,102.13395652173914,950
2020-02-06 20:28:26:986926,102.39526956521739,949
2020-02-06 20:28:27:077863,101.51765217391305,950
2020-02-06 20:28:27:168662,101.52258260869566,950
2020-02-06 20:28:27:260782,101.28099130434784,950
2020-02-06 20:28:27:361038,101.4239739130435,946
2020-02-06 20:28:27:451824,100.9851652173913,951
2020-02-06 20:28:27:541912,-123.26086956521739,950
2020-02-06 20:28:27:969335,-123.2658,950
2020-02-06 20:28:28:061733,103.15455652173914,950
2020-02-06 20:28:28:152595,101.72966086956522,945
2020-02-06 20:28:28:243297,101.33522608695652,950
