timestamp,load,force,pressure
2020-02-02 19:58:55:306250,15521,-46.7355913,1023
2020-02-02 19:58:55:399067,-4447,-145.186513,1023
2020-02-02 19:58:55:491850,-41826,-329.4812348,1023
2020-02-02 19:58:55:584679,-83131,-533.1328435,1023
2020-02-02 19:58:55:677546,-126130,-745.1366087,1023
2020-02-02 19:58:55:770342,-170646,-964.6198435,1023
2020-02-02 19:58:55:863109,-207330,-1145.487913,1023
2020-02-02 19:58:55:955794,-238001,-1296.709278,1023
2020-02-02 19:58:56:048530,-262035,-1415.207348,1023
2020-02-02 19:58:56:141192,-278476,-1496.268626,1023
2020-02-02 19:58:56:233815,-291996,-1562.928104,1023
2020-02-02 19:58:56:326454,-306993,-1636.869835,1023
2020-02-02 19:58:56:419072,-323144,-1716.501287,1023
2020-02-02 19:58:56:511721,-337636,-1787.953148,1023
2020-02-02 19:58:56:604447,-348415,-1841.098304,1023
2020-02-02 19:58:56:697149,-357749,-1887.118983,1023
2020-02-02 19:58:56:789913,-364774,-1921.755287,1023
2020-02-02 19:58:56:882587,-367160,-1933.519304,1023
2020-02-02 19:58:56:975277,-367771,-1936.5318,1023
2020-02-02 19:58:57:068049,-366123,-1928.406443,1023
2020-02-02 19:58:57:160667,-354782,-1872.490383,1023
2020-02-02 19:58:57:253348,-311592,-1659.544904,1023
2020-02-02 19:58:57:346181,-223741,-1226.401278,1023
2020-02-02 19:58:57:438967,-139386,-810.4944522,1023
2020-02-02 19:58:57:531651,-81987,-527.4924261,1023
2020-02-02 19:58:57:624391,-39639,-318.6983739,1023
2020-02-02 19:58:57:717085,-605,-126.2437826,1023
2020-02-02 19:58:57:809822,38055,64.36682609,1023
2020-02-02 19:58:57:902529,78366,263.1175826,1023
2020-02-02 19:58:57:995193,125842,497.1949043,1023
2020-02-02 19:58:58:087879,170857,719.1384261,1023
2020-02-02 19:58:58:180534,210591,915.0443217,1023
2020-02-02 19:58:58:273227,245871,1088.990061,1023
2020-02-02 19:58:58:365907,277722,1246.029339,1023
2020-02-02 19:58:58:458638,309632,1403.359513,1023
2020-02-02 19:58:58:551357,340004,1553.106678,1023
2020-02-02 19:58:58:644059,360648,1654.890574,1023
2020-02-02 19:58:58:736746,371762,1709.687426,1023
2020-02-02 19:58:58:829466,384663,1773.294965,1023
2020-02-02 19:58:58:922136,406387,1880.40373,1023
2020-02-02 19:58:59:014758,430534,1999.458939,1023
2020-02-02 19:58:59:107484,448699,2089.020287,1023
2020-02-02 19:58:59:200125,463809,2163.519157,1023
2020-02-02 19:58:59:292761,476536,2226.2688,1023
2020-02-02 19:58:59:385423,485498,2270.455357,1023
2020-02-02 19:58:59:478266,495342,2318.990557,1023
2020-02-02 19:58:59:570986,501642,2350.052296,1023
2020-02-02 19:58:59:663664,477347,2230.267383,1023
2020-02-02 19:58:59:756349,366989,1686.154461,1023
2020-02-02 19:58:59:849062,208814,906.2829391,1023
2020-02-02 19:58:59:941711,104649,392.7042,1023
2020-02-02 19:59:00:034373,47513,110.9988783,1023
2020-02-02 19:59:00:127015,15643,-46.13407826,1023
2020-02-02 19:59:00:219840,3947,-103.8004435,1023
2020-02-02 19:59:00:312505,4385,-101.640913,1023
2020-02-02 19:59:00:405183,8699,-80.37101739,1023
2020-02-02 19:59:00:497901,16295,-42.91943478,1023
2020-02-02 19:59:00:590567,32387,36.42112174,1023
2020-02-02 19:59:00:683223,57250,159.0065217,1023
2020-02-02 19:59:00:775931,87608,308.6846609,1023
2020-02-02 19:59:00:868093,FALSE,-123.2608696,1023
2020-02-02 19:59:00:869752,,,1023
2020-02-02 19:59:00:962316,158390,657.6706957,1023
2020-02-02 19:59:01:054993,199103,858.403487,1023
2020-02-02 19:59:01:147726,244739,1083.408809,1023
