timestamp,load_old,load_raw,pressure_raw,load,pressure,,,,multiply load by 1.7 to adjust for area difference (92 instead of 120mm)
2020-02-14 15:53:56:899850,168.3496957,-9145.00001,948,4.65778049,986.3409695,,,,
2020-02-14 15:53:57:158482,163.5474522,-8171.000005,926,9.416692386,958.6396767,,,,
2020-02-14 15:53:57:415487,123.2608696,-7.05E-06,935,49.33976109,969.9720238,,,,
2020-02-14 15:53:57:674283,163.863,-8235,940,9.103991837,976.2677721,,,,
2020-02-14 15:53:57:933027,172.8511826,-10058,954,0.196911407,993.8958676,,,,
2020-02-14 15:53:58:191733,163.8728609,-8237.000006,929,9.094219913,962.4171257,,,,
2020-02-14 15:53:58:450267,171.2192087,-9727.000001,983,1.81415968,1030.411208,,,,
2020-02-14 15:53:58:711145,163.2713478,-8114.999995,912,9.69030544,941.0115813,,,,
2020-02-14 15:53:58:969675,163.5326609,-8168.000006,956,9.431350221,996.4141669,,,,
2020-02-14 15:53:59:229647,165.8746174,-8643.000002,928,7.110525663,961.157976,,,,
2020-02-14 15:53:59:488202,165.6133043,-8589.99999,931,7.369480883,964.9354251,,,,
2020-02-14 15:53:59:746933,154.1007391,-6254.999994,975,18.7781659,1020.338011,,,,
2020-02-14 15:54:02:504400,157.7196783,-6989.000008,912,15.19188112,941.0115813,,,,
2020-02-14 15:54:02:763160,166.9050783,-8852.000008,965,6.089362818,1007.746514,,,,
2020-02-14 15:54:03:023002,169.7647304,-9431.999993,909,3.255513931,937.2341322,,,,
2020-02-14 15:54:03:281758,174.5176696,-10396.00001,888,-1.454538547,910.7919891,,,,
2020-02-14 15:54:03:540293,175.6960435,-10635,816,-2.622279743,820.1332126,,,,
2020-02-14 15:54:03:799798,172.8511826,-10058,772,0.196911407,764.7306269,,,,
2020-02-14 15:54:04:058318,177.9541826,-11093,740,-4.860043202,724.4378373,,,,
2020-02-14 15:54:04:315439,123.2608696,-7.05E-06,725,49.33976109,705.5505922,,,,
2020-02-14 15:54:04:574076,175.9080522,-10678.00001,708,-2.832375446,684.1450478,,,,
2020-02-14 15:54:04:832860,177.4907217,-10998.99999,712,-4.400764203,689.1816465,,,,
2020-02-14 15:54:05:092784,174.8529391,-10463.99999,709,-1.786782843,685.4041974,,,,
2020-02-14 15:54:05:351609,175.0649478,-10506.99999,709,-1.996878546,685.4041974,,,,
2020-02-14 15:54:05:611012,173.5611652,-10202,706,-0.506664878,681.6267484,,,,
2020-02-14 15:54:05:869639,175.5629217,-10607.99999,685,-2.490359128,655.1846053,,,,
2020-02-14 15:54:06:128277,176.1742957,-10732.00001,696,-3.096216578,669.0352517,,,,
2020-02-14 15:54:06:385502,123.2608696,-7.05E-06,677,49.33976109,645.1114079,,,,
2020-02-14 15:54:06:644409,176.2433217,-10745.99999,699,-3.164619743,672.8127007,,,,
2020-02-14 15:54:06:903230,174.7641913,-10446,698,-1.698835832,671.553551,,,,
2020-02-14 15:54:07:161881,176.6525478,-10828.99999,690,-3.570153314,661.4803536,,,,
2020-02-14 15:54:07:421976,175.7453478,-10644.99999,699,-2.671139161,672.8127007,,,,
2020-02-14 15:54:07:680529,176.7807391,-10854.99999,692,-3.697187918,663.998653,,,,
2020-02-14 15:54:07:941267,174.7099565,-10435,693,-1.645090404,665.2578027,,,,
2020-02-14 15:54:08:199863,177.4463478,-10989.99999,695,-4.356790697,667.776102,,,,
2020-02-14 15:54:08:458483,177.7175217,-11044.99999,694,-4.625517741,666.5169523,,,,
2020-02-14 15:54:08:715466,123.2608696,-7.05E-06,696,49.33976109,669.0352517,,,,
